BOR;AN;nofinesset;nofinessej;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2013;150000040;150780096;1;;;;0.2;1;12;0;422;0;4344;3;3;;;1;1;;;1;1;4;5;;;1;;3;;;3;4;7.33;;;2.36
MCOGER;2013;160000253;160000451;1;557;0;697;3.1;1;30;5;1166;345;10613;4;4;1;0;0.92;0.92;0;0;;;14;17;0;0;9;1;4;0;0;3;14.41;19.84;0;0;7.89
MCOGER;2013;160000303;160006037;1;107;3;105;1.25;1;10;;276;1;2965;2;2;;;1;1;1;1;1;1;2;1;;;1;1;1;;;;2.15;1.8;;;0.5
MCOGER;2013;160000311;160000485;1;19;51;36;1.82;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;160015368;160014411;0;;;;;1;15;0;;;;2;1;1;;1.7;0.6;0;0;1;1;5;13;;;2;3;3;;;;6.04;10.51;;;1.29
MCOGER;2013;170000038;170780050;0;;;;;1;30;1;833;185;9033;3;2;;;3;2;0;0;1;1;7;12;;;2;3;3;;;;7.78;14.31;;;2
MCOGER;2013;170000079;170780142;0;;;;;1;11;1;136;158;2934;;;1;;0.5;;0;0;1;0;3;3;;;2;5;6;;;1;6.19;6.84;;;2.5
MCOGER;2013;170000087;170023279;1;;;496;4.1;1;30;0;1334;0;10839;3;3;;;2.16;2.16;0;0;0;0;15;14;;;9;2;3;;;2;14.81;17;;;7.18
MCOGER;2013;170000095;170780167;0;;;;;1;26;0;681;1;8540;5;5;1;1;3.42;3.42;0;0;0;0;10;13;0;;5;3;4;1;;6;12.21;16.44;0.2;;6.68
MCOGER;2013;170000103;170780175;1;329;0;305;1;1;25;0;1232;58;9831;2;2;0;0;1;1;0;0;1;1;12;15;;;4;2;5;;;1;10;11.75;;;1
MCOGER;2013;170000111;170023279;0;;;;;1;3;;;;;;;1;1;0.5;0.5;0;0;0;0;2;2;;;10;;;;;2;0.81;1.02;;;0.58
MCOGER;2013;170000129;170780191;1;;;;1;1;20;0;721;0;7133;2;2;;;2;2;0;0;1;1;11;12;;;3;;;;;2;10.91;11.91;;;4.88
MCOGER;2013;170000152;170780225;1;941;32;508;2.55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;180000010;180000028;1;964;0;964;0.5;1;45;0;974;0;13441;7;7;0;0;4.7;4.7;0;0;1;1;16;24;;;;;;;;;16;24;;;
MCOGER;2013;180000200;180000051;0;;;;;1;22;;;;;1;;;;1.51;;0;0;1;1;1;12;;;4;4;;;;;4.72;11.8;;;3.17
MCOGER;2013;180000283;180000069;0;;;;;1;46;;1430;40;16008;6;;;;4.81;;0;;1;;14;19;;;12;7;9;;;3;16.84;25.31;;;14.07
MCOGER;2013;190000018;190000042;1;828;12;840;3.6;1;31;0;87;0;1036;6;2;1;1;3.93;1.26;0;0;1;1;15;12;;;4;;2;1;;1;14.69;13.34;0.3;;3.79
MCOGER;2013;190000026;190000059;1;554;150;583;;1;20;0;469;4;7191;5;1;;;2.77;0.75;0;0;1;0;9;6;;;5;;1;;;1;9.06;7.82;;;7.41
MCOGER;2013;190000091;190000075;1;15;;15;;1;5;1;231;3;2021;15;4;12;;22.27;3.14;0;0;1;1;;;0;;;;;0;;;;;0;;
MCOGER;2013;210986089;210780581;1;564;0;755;3.29;1;60;10;1243;1270;22334;12;5;;;7.88;3.8;1;1;1;1;40;35;1;;27;;;;;;33.85;29.41;0.1;;22.16
MCOGER;2013;210987590;210780649;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;210987657;210780714;1;594;129;723;2.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;210987665;210010070;1;45;35;80;1.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;210987673;210010070;0;;;;;1;23;2;442;163;6269;1;;;;1;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;220000012;220000020;1;629;2;628;0.5;1;39;2;1325;341;14175;7;1;;;6.67;0.5;0;0;1;1;21;23;;;8;3;11;;;4;19.15;28.07;0.29;;5.71
MCOGER;2013;220000095;220000046;1;430;95;;2.5;1;32;;796;3;8490;;;1;1;0.6;0.6;;;;;8;12;;;6;4;5;;;;11.83;14.09;;;5.87
MCOGER;2013;220000343;220000079;1;582;6;561;3.65;1;15;1;542;52;5386;1;1;1;1;1.5;1.5;0;0;1;0;3;7;;;;4;4;;;;5.5;9;;;
MCOGER;2013;220000368;220000103;1;323;0;279;3.88;1;16;0;587;1;5313;3;3;;;2.08;1.62;0;0;0;0;12;8;;;4;2;3;;;4;10.25;9.4;;;5.56
MCOGER;2013;220000541;220000152;1;407;2;373;1.67;1;20;0;658;5;6577;3;1;;;1.8;0.9;0;0;1;1;15;15;;;8;;1;;;4;10.1;11.69;;;3.2
MCOGER;2013;220000574;220000186;0;;;;;1;15;;;;;;;1;;0.1;;;;;;1;3;;;1;1;4;1;;2;1.8;5.9;0.5;;1.92
MCOGER;2013;220001259;220005045;1;0;81;72;;1;30;10;677;502;9725;8;;;;3.97;;;;;;8;11;;;5;6;4;;;1;13.1;14.29;;;4
MCOGER;2013;230000820;230780041;1;;;;0.4;1;19;0;512;5;6701;2;1;1;;2.74;0.74;0;0;1;1;3;;1;;1;;1;;;1;2.33;0.17;0.5;;1.25
MCOGER;2013;230004657;230780058;0;;;;;1;20;0;250;1;3051;1;;1;1;1;0.8;0;0;1;1;11;18;;;13;;1;;;;7.34;15.7;;;8.25
MCOGER;2013;240000372;240000059;0;;;;;1;14;0;554;0;4702;3;;;;1.2;;0;;1;;6;12;;;3;2;1;;;3;8.09;12.89;;;3.9
MCOGER;2013;240000489;240000117;0;;;;;1;14;0;449;0;5123;2;2;1;1;2.8;2.8;0;0;0;0;1;;;;2;;;;;;1;;;;2
MCOGER;2013;250000114;900000365;0;;;;;1;42;0;1000;0;15613;4;;;;3.9;;;0;;1;;;;;;;;;;;;;;;
MCOGER;2013;250000627;250000221;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;250000700;250000452;1;556;235;1316;4.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;250006954;250000015;1;793;0;471;1.39;1;48;5;928;885;17165;6;2;;;4.8;2;0;0;1;1;15;17;0;0;10;13;12;1;0;5;22.9;25.37;0.8;0;12.33
MCOGER;2013;260000013;260000021;1;581;0;530;1.9;1;24;2;791;233;8923;2;2;;;2;2;0;0;0;0;12;15;;;;;;;;;10.3;12.95;;;
MCOGER;2013;260000120;260016910;1;797;;;2.26;1;16;;383;3;5319;2;;;;2;;;;1;;4;10;;;3;4;2;;;;8.43;11.63;0.05;;4.33
MCOGER;2013;260000138;260000047;1;1502;0;933;1.5;1;30;;906;1;10880;6;;;;4.9;;0;0;1;1;12;13;;;3;4;2;;;3;14.59;13.62;;;4.3
MCOGER;2013;260000146;260000054;0;;;;;1;9;0;331;30;3131;1;;;;1;;;;;;2;;;;;;;;;;2;;;;
MCOGER;2013;260000286;260000104;0;;;;;1;2;0;34;10;310;;;1;;0.1;;0;;0;;;;;;;;;;;;;;;;
MCOGER;2013;270000359;270023724;1;568;0;492;2.4;1;32;0;1082;2;11735;5;4;2;2;5.5;4.15;0;0;1;1;11;15;;;2;2;4;;;;11.83;18.63;;;2.63
MCOGER;2013;270000367;270000086;1;;;;;1;10;;333;0;3706;0;;3;2;0.93;0.9;0;0;0;0;6;4;;;;;;;;;3.84;3.92;;;
MCOGER;2013;270000391;760024042;0;;;;;1;27;0;2363;15;19950;5;5;;;5;5;0;0;1;1;15;17;;;6;5;4;;;6;15.49;19;;;8.78
MCOGER;2013;270000458;270023724;1;807;0;568;1.75;1;12;0;116;0;1181;4;4;;;3;3;0;0;1;1;6;4;;;;2;3;;;2;2.2;2.22;;;0.11
MCOGER;2013;280000084;280000183;1;16;36;57;2.5;1;25;0;599;0;9028;1;1;3;;2.75;1;0;0;1;1;9;13;;;;3;;;;;11.83;12.61;;;
MCOGER;2013;280000100;280000225;0;;;;;1;15;0;181;1;3651;;;8;2;0.71;0.24;0;0;1;1;4;6;;;;1;1;1;;2;4.8;6.83;0.05;0;0.71
MCOGER;2013;280000662;280500075;0;;;;;1;18;0;;;;1;;1;;1.64;;0;0;1;0;3;5;1;1;;2;4;;1;;4.59;8.25;0.16;0.39;
MCOGER;2013;280504267;280000134;1;597;0;425;1.32;1;53;2;1211;141;17393;1;1;;;1;1;0;0;0;1;16;24;;;19;5;3;;;6;21.38;26.28;;;11.38
MCOGER;2013;290000025;290020700;1;5747;0;;1.91;1;24;4;726;264;8676;3;2;1;0;2.28;1.34;0;0;1;1;10;11;;;7;7;3;;;3;12.99;13.59;;;5.05
MCOGER;2013;290000033;290021542;1;770;0;691;2.8;1;25;0;809;3;8912;1;1;2;;2.67;1.07;;;;;7;12;;;7;6;4;;;1;12.2;15.25;;;7.58
MCOGER;2013;290000173;290000041;0;;;;;1;14;;573;0;4396;1;;;;0.9;;0;;1;;;;;;;;;;;;4.3;7.2;;;
MCOGER;2013;290000181;290000074;0;;;;;1;20;8;410;541;5084;3;;3;;2.23;;0;;1;;8;8;;;6;;4;;;6;7.33;8.6;;;5.56
MCOGER;2013;290000785;220020739;0;;;;;1;19;0;442;3;5770;7;;1;;7.14;;;;;;29;28;;;6;26;18;;;2;47.66;43.03;;;4.88
MCOGER;2013;290000934;290000306;1;246;52;289;1.9;1;38;5;1300;783;13177;4;;;;3.9;;;;1;;8;13;;;2;10;14;;;3;17.13;26.78;;;9.09
MCOGER;2013;290004324;290000017;1;933;0;933;3.4;1;26;0;692;242;9516;;;;;;;;;;;7;9;;;6;5;5;;;2;11;12.6;;;6.75
MCOGER;2013;2A0000022;2A0000014;1;8;0;287;;1;20;0;669;1;7036;;;;;;;;;;;11;12;;;7;2;0;;;0;8.36;8.01;;;4.42
MCOGER;2013;2B0000012;2B0000020;1;423;0;;2.5;1;30;1;1074;6;9533;5;1;1;0;4.71;0.33;0;0;1;1;19;21;0;0;8;2;1;0;0;4;18.64;21.94;0;0;10.63
MCOGER;2013;300000023;300780046;1;287;0;287;3.76;1;19;0;692;;6899;3;0;0;0;1.23;0;0;0;1;1;11;12;0;0;8;2;3;;;5;8.97;13.42;0;0;4.24
MCOGER;2013;300000031;300780053;1;71;7;78;2.2;1;10;2;317;46;3326;1;0;1;0;0.78;;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0.25;0;1.48
MCOGER;2013;300002805;300780038;0;;;;;1;;5;0;4549;0;;;;;;;;;;;2;3;1;1;8;;;;;2;2.92;4.65;1.25;0.58;8.95
MCOGER;2013;300782117;300780038;1;674;;571;1.81;1;70;;1551;0;20235;7;2;1;;6.5;2;0;0;1;1;21;23;1;;12;3;7;1;;2;25.28;27.33;1.8;;13.45
MCOGER;2013;310000310;310780671;1;314;71;395;1.7;1;15;3;444;26;4473;1;;1;;1.1;;0;;1;;;;;;;1;;;;1;0.9;;;;0.25
MCOGER;2013;310013628;310786256;1;171;;162;1.35;1;15;0;;;;1;1;1;1;1.7;1.7;;;1;1;17;33;0;0;28;3;1;1;0;2;4.96;8.64;0.06;;4.65
MCOGER;2013;310780283;310000112;1;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;310782347;310789136;1;5;211;138;0.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;310783048;310781406;1;;;;3.8;1;20;;1015;0;7446;1;1;2;2;2;2;1;1;1;1;10;14;;;;3;;;;;11.8;14;;;
MCOGER;2013;310783055;310781406;0;;;;;1;15;;737;4;2721;2;2;1;1;2.5;2.5;;;1;1;5;5;;;;2;2;;;;6.14;6.14;;;
MCOGER;2013;310783063;310781406;0;;;;;1;;4;7;699;0;2;2;2;2;1.19;1.19;;;;;1;2;;;;1;;;;;1.7;2;;;
MCOGER;2013;310786389;310001433;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;310787304;310781406;1;;;;3.8;1;70;9;2293;2494;20741;3;3;39;39;15.47;15.47;1;1;0;0;45;49;;;;7;16;;;;49.9;60.3;;;
MCOGER;2013;320000086;320780117;1;247;74;252;1;1;20;0;505;3;5369;1;0;0;0;0.5;0;0;0;1;;11;14;0;0;5;1;4;0;0;0;10.84;16.47;0;0;3.27
MCOGER;2013;320000177;320780208;0;;;;;1;10;0;269;0;2467;;;2;;0.08;;0;0;0;0;4;4;;;25;1;1;;;5;3.88;4.35;;;10.92
MCOGER;2013;330000340;330780552;0;;;;;1;26;4;561;232;8361;2;2;0;0;1.7;1.7;;;;;7;12;;;1;4;3;;;;9.43;14.31;;;1
MCOGER;2013;330000555;330781204;0;;;;;1;28;;941;0;8000;2;;;;1.57;;;;;;9;14;;;2;2;1;;;;9.16;10.08;;;0.96
MCOGER;2013;330000571;330781220;0;;;;;1;10;0;;;;1;;0;;0.2;;0;;0;;;;;;;;;;;;;;;;
MCOGER;2013;330000597;330027509;0;;;;;1;;3;0;349;0;0;0;0;0;0;0;;;;;0;0;0;1;0;1;0;0;0;0;0.34;0;0;0.25;0
MCOGER;2013;330000605;330781253;1;518;0;259;2.5;1;73;5;2865;168;25708;1;1;0;0;0.5;0.5;0;0;1;1;38;38;2;2;25;1;3;;;2;39.95;37.64;2;2;26.6
MCOGER;2013;330000662;330781329;1;417;72;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;330780370;750034589;0;;;;;1;;3;0;1679;0;;;3;3;1.47;1.47;0;0;0;0;;;;;;;;;;5;;;;;3.65
MCOGER;2013;330780495;330796392;0;;;;;1;3;;60;0;464;;;1;1;0.2;0.2;0;0;1;1;1;1;;;;1;1;;;;1.16;1.71;;;
MCOGER;2013;330781337;330781196;1;;;;12.01;1;71;4;1343;728;22361;15;;7;;12.8;;0;;1;;38;37;1;;24;3;2;1;;9;35.4;31.2;1.14;;24.52
MCOGER;2013;330781352;330781196;0;;;;;1;15;0;693;0;5399;1;;1;;1.2;;0;;0;;7;11;;;2;2;1;;;;8.66;11.1;;;1.95
MCOGER;2013;330782582;330000928;0;;;;;1;25;;;;;2;2;2;2;2.64;2.64;;;1;1;9;9;;;;1;1;;;;9.1;9.6;;;
MCOGER;2013;340000033;340780055;1;713;376;1011;4.2;1;12;1;569;6;4277;3;;;;1.9;;0;;1;;10;6;;;3;;;;;1;7.15;4.45;;;2.41
MCOGER;2013;340000223;340011295;1;186;0;578;1.85;1;10;0;288;0;3599;3;;;;1.45;;;;;;5;5;1;;5;1;1;;;5;5.33;5.59;0.25;;4.11
MCOGER;2013;340008275;340780477;1;1097;0;;7.8;1;44;10;1450;1217;15493;4;3;3;2;5.7;3.12;;;;;2;1;;;5;;;1;;4;2;1;0.86;;5.07
MCOGER;2013;340015502;340000512;1;;;;2;1;20;;;;;2;1;;;2;1;;;1;1;15;15;;;;;;;;;15;15;;;
MCOGER;2013;350000014;350005179;1;1534;;;3.7;1;0;5;0;861;0;4;1;1;0;2.72;0.6;0;1;1;1;0;1;2;0;9;4;0;1;0;1;2.85;1;0.36;0;5.33
MCOGER;2013;350000063;220020739;0;;;;;1;0;5;0;125;0;;;1;1;0.3;0.25;0;;1;1;;;;;2;1;;1;;;0.25;;0.2;;0.6
MCOGER;2013;350000147;350000022;1;1976;;;3.02;1;52;0;1404;56;15989;6;6;1;1;4.94;4.94;;;0;0;18;19;;;4;7;12;;;9;23.7;28.6;;;9.8
MCOGER;2013;350000154;350000030;1;1086;0;390;3.56;1;19;1;632;3;7242;2;1;0;;1.81;0.3;0;0;0;0;3;7;;;7;5;5;;;1;9.33;11.85;;;5.6
MCOGER;2013;350000162;350000048;1;417;0;369;2.7;1;38;2;787;1;10360;4;1;0;0;2.02;0.1;0;0;1;1;12;19;1;0;10;4;2;0;0;3;11.84;14.94;0.33;0;7.39
MCOGER;2013;350000188;350000055;1;37;10;47;2.2;1;16;0;160;1;1135;1;1;1;1;0.9;0.9;0;0;1;1;6;6;1;;2;3;4;;;;7.66;8.31;0.8;;2
MCOGER;2013;350002192;220020739;1;86;0;83;0.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;350005021;440042844;0;;;;;1;0;3;0;481;0;4;;8;3;8.92;2.52;0;0;1;1;17;17;;;;12;14;2;;2;24.42;26.26;0.75;;1.1
MCOGER;2013;350006771;350005179;0;;;;;1;40;0;747;0;14782;2;0;2;0;1.43;0;0;0;0;0;14;22;0;0;18;8;9;0;0;7;21.97;27.24;0;0;20.05
MCOGER;2013;360000038;360000046;0;;;;;1;20;;316;0;6268;7;1;12;;15.6;1;;;1;;29;31;0;0;31;15;20;0;0;4;24.54;28.83;0;0;14.28
MCOGER;2013;360000137;360000053;1;342;12;461;0.86;1;16;4;755;1;5535;3;2;;;2.49;1.49;;;;;11;12;;;7;10;4;;;3;18.37;14.6;;;9.5
MCOGER;2013;360000160;360000079;0;;;;;1;5;;174;0;1726;2;;;;0.35;;0;;1;;;3;;;;2;;;;;1.6;3;;;
MCOGER;2013;370000531;370000606;0;;;;;1;12;1;425;29;3908;1;1;0;;1;1;1;0;0;0;4;7;;;1;;2;1;;2;4;8.39;0.5;0;2.32
MCOGER;2013;370000580;370000564;0;;;;;1;25;0;652;10;6951;2;;;;1.79;;0;;1;;10;11;;;4;5;2;;;2;12.51;11.52;;;4.98
MCOGER;2013;370000861;370000481;1;1137;0;279;4;1;25;;685;1;9044;6;3;;;12.6;1.5;0;0;0;0;351;389;1;0;444;167;137;0;0;159;469.99;481.95;1;0;575.1
MCOGER;2013;370000879;370000564;0;;;;;1;28;0;827;3;8482;2;0;;0;2;0;0;0;1;0;6;10;;;3;6;6;;;3;9.95;14.14;;;5.95
MCOGER;2013;380000034;380780049;1;;;;;1;27;0;670;3;9669;3;;;;1.5;;0;0;1;1;6;6;;;2;4;6;;;;9.35;10.39;;;2
MCOGER;2013;380000042;380780056;0;;;;;1;22;;745;;7349;;;2;;1.6;;0;0;0;0;7;12;;;7;5;3;;;1;11.2;12.94;;;6.77
MCOGER;2013;380000067;380780080;1;1078;;692;6.5;1;46;1;1238;343;16356;8;;3;;10.76;;0;;1;0;13;13;;;18;10;5;;;5;22.34;18.1;0.5;;20.55
MCOGER;2013;380000109;380780213;0;;;;;1;20;;;;;1;1;;;1.67;1.67;1;1;0;0;5;10;;;4;3;5;;;10;7.24;10.25;;;9.4
MCOGER;2013;380000174;380781435;1;1301;19;809;3.43;1;30;0;682;0;8528;2;1;2;2;1.61;1.46;0;0;1;0;15;20;1;;13;9;7;0;;6;8.43;9.12;1;;3.98
MCOGER;2013;380000406;380784751;1;622;0;582;3.6;1;20;2;670;52;7047;2;0;3;0;2.03;0;0;0;1;1;7;11;0;0;5;4;1;0;0;1;10.82;10.76;0;0;5.38
MCOGER;2013;380012658;380012609;1;310;;270;2.2;1;8;;141;1;1812;1;;3;2;2.4;1.6;1;1;1;1;5;5;;;;3;4;1;;2;7.3;8;0.3;;1.2
MCOGER;2013;380785956;380795211;0;;;;;1;20;0;370;1;4110;1;1;1;;2;1;0;0;;1;9;5;;;;;;;;1;9;5;;;0.5
MCOGER;2013;390000040;390780146;1;;;;;1;27;0;765;0;9334;2;;3;;3.63;;0;;0;;;;;;;;;;;;;;;;
MCOGER;2013;390000222;390780609;0;;;;;1;24;0;810;7;8084;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;400000105;400780193;1;673;5;651;;1;24;;613;0;7327;2;2;;;2;2;0;0;1;1;8;12;;;6;4;4;;;1;9.09;13.11;;;6.09
MCOGER;2013;400000139;400011177;1;617;0;573;5.09;1;12;0;660;3;5797;3;3;;;3;3;0;0;1;1;3;0;0;0;1;2;12;0;0;7;4.65;4.67;0;0;3.95
MCOGER;2013;400000147;400780268;0;;;;;1;10;2;282;436;4264;1;1;;;1;1;;;;;6;7;;1;;;;;;;6;6.8;;0.1;
MCOGER;2013;400000261;400780458;0;;;;;1;;1;0;55;0;;;;1;;0.1;;0;;0;;;;;;;;;;1;;;;;0.1
MCOGER;2013;400787354;400780193;0;;;;;1;;2;;276;;;;;;1.33;0.03;0;0;1;1;1;;;;;;;;;;1;;;;0.33
MCOGER;2013;410000020;410000087;1;433;0;408;2.59;1;26;1;900;2;11187;2;0;0;0;2;0;1;0;1;0;24;29;0;0;21;3;5;0;0;0;10.7;22.4;0;0;12.42
MCOGER;2013;410000038;410000095;0;;;;;1;15;0;426;3;5383;2;1;;;0.48;0.25;0;0;1;1;4;4;;;4;1;3;;;1;4.54;6.67;;;4.75
MCOGER;2013;420000010;420780033;1;222;192;;4.61;1;25;2;831;161;9235;3;3;0;0;2.9;2.9;0;0;0;0;11;12;;;6;2;3;;;5;11.39;12.84;;;7.37
MCOGER;2013;420000192;750034589;0;;;;;1;18;;475;1;6689;;;2;2;1.02;1.02;0;0;1;1;;;;;;12;37;0;0;45;4.62;4.06;;;5.9
MCOGER;2013;420000226;420013831;0;;;;;1;15;0;106;0;1955;;;;;;;;;;;;;;;;;1;;;;;0.45;;;
MCOGER;2013;420000234;420780652;1;373;0;678;3.55;1;21;1;872;6;9971;2;1;;;2;1;0;0;1;0;5;7;;;;1;1;;;;5.6;7.6;;;
MCOGER;2013;420000267;420013831;1;202;0;190;3.3;1;12;2;168;185;2299;;;;;;;0;0;0;0;3;6;;;;4;3;;;5;3.57;4.9;;;2
MCOGER;2013;420000317;420780736;0;;;;;1;8;0;195;2;2348;;;;;;;;;;;2;1;;;;2;1;;;;3.3;1.5;;;
MCOGER;2013;420000440;420784878;0;;;;;1;30;0;810;0;10856;11;;3;;4.53;;;;1;;22;31;;;2;8;2;;;2;11.04;14.31;;;1.38
MCOGER;2013;420011413;420011405;0;;;;;1;10;;145;0;1989;1;;1;1;1.5;0.5;0;0;1;1;3;3;;;;;1;;;;3;3.25;;;
MCOGER;2013;420780637;420002495;1;391;;339;2.6;1;18;;;;;1;;3;1;2.5;0.5;0;0;1;0;1;3;;;1;8;12;;;5;5;8;;;4
MCOGER;2013;420782567;420784878;1;0;144;;;1;40;3;1184;393;13908;;;;;;;;;;;23;36;;;16;8;8;;;7;17.38;24.11;;;9.44
MCOGER;2013;420785354;420784878;1;1083;;803;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;430000117;430000018;1;;;1080;1.22;1;32;1;1195;5;12451;3;3;0;0;1.54;1.15;0;0;1;1;13;15;0;0;5;7;5;0;0;3;18.29;18.26;0;0;3.93
MCOGER;2013;430000190;430000034;1;75;0;75;1.66;1;12;2;304;14;3798;1;;;;1;;0;0;1;0;;3;;;1;7;5;;;9;4.05;6.06;;;5.71
MCOGER;2013;440000016;440000057;1;2597;1440;2121;8.17;1;75;6;2289;2411;27119;6;5;2;2;6.7;5.7;0;;1;;18;28;;;6;17;21;3;;10;30.6;42.6;1.6;;12.75
MCOGER;2013;440000271;440000289;1;2739;;;6.02;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;440000396;440000297;1;181;0;138;0.95;1;22;;737;0;8188;1;1;;;1;1;;;1;1;;;;;;;;;;;;;;;
MCOGER;2013;440000453;440000289;0;;;;;1;36;5;1248;717;13032;5;;3;;4.34;;0;0;1;1;12;17;0;0;3;11;9;0;1;13;18.65;22.45;0;0.5;9.41
MCOGER;2013;440000503;440000313;1;;;;0.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;440000560;850009010;0;;;;;1;22;3;671;461;7750;2;;1;;2.8;;0;;1;;10;12;;;2;5;5;;;2;11.57;13.9;;;2.82
MCOGER;2013;440001113;490017258;1;246;;221;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;440001295;440000859;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;440017598;440000289;0;;;;;1;30;0;1110;2;10726;5;;;;3.25;;0;;1;;5;14;0;0;3;11;8;0;0;1;13.35;18.8;0;0;4.36
MCOGER;2013;450000021;450000088;0;;;;;1;;;;;;10;;4;;7;;0;;1;;;;;;;;;;;;11.47;13.07;0.83;;11.42
MCOGER;2013;450000062;450000104;1;304;0;304;1.45;1;30;1;427;2;4820;1;1;1;1;1.24;1.24;0;0;0;0;14;15;1;;10;1;1;;;9;8.99;8.89;1;;9.31
MCOGER;2013;450000070;450000112;0;;;;;1;4;;107;0;978;3;1;2;1;3.46;1.6;0;0;0;0;3;3;;;3;;;;;;1.04;1.93;;;0.3
MCOGER;2013;450000120;450000138;0;;;;;1;12;;169;0;3079;;;1;;0.15;;0;;1;;3;8;;;6;2;;;;2;4.6;8;;;6.5
MCOGER;2013;450000260;450000161;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;450002613;450000088;1;;;;4.03;1;68;2;2446;203;25167;14;;3;;3.51;;;;;;24;51;1;;29;11;9;1;;6;24.18;31.51;0.41;;15.56
MCOGER;2013;460000045;460780083;0;;;;;1;10;0;;;;2;1;0;0;1.19;0.5;1;;1;;5;7;0;0;2;6;5;0;0;1;3.84;3.52;0;0;1.48
MCOGER;2013;460000052;460780091;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;460000102;460780208;0;;;;;1;7;2;250;199;2334;2;1;;;0.3;0.2;;;;;3;5;;;3;3;2;;;;3.9;2.31;;;0.8
MCOGER;2013;460000110;460780216;1;1633;39;645;3.15;1;12;;538;29;3806;3;0;0;0;2.5;0;0;0;0;0;7;7;0;0;2;1;1;0;0;3;7.8;6.48;0;0;4.15
MCOGER;2013;470000431;470000324;0;;;;;1;24;;549;0;8215;1;;;;0.55;;0;0;0;0;1;;;;1;;;1;;1;0.6;;0.3;;0.56
MCOGER;2013;470000480;470001660;1;186;0;182;;1;22;;1062;0;8888;3;2;1;0;3.2;2;;;;;11;12;0;0;8;0;0;0;0;3;8.78;10.96;0;0;7.01
MCOGER;2013;470000530;470000357;0;;;;;1;5;;37;0;390;;;1;;0.2;;0;;0;;2;2;;;;;;;;;2;1.8;;;
MCOGER;2013;470005406;470000316;1;973;25;813;3;1;20;5;750;3;6918;3;2;;;1.93;0.93;0;0;1;1;12;15;;;9;1;1;;;2;12.22;14.99;;;6.12
MCOGER;2013;480000017;480780097;1;232;;199;1.5;1;7;0;302;1;2456;;;;;;;;;;;6;8;;;2;2;3;;;;7.9;13.2;;;1.23
MCOGER;2013;480000033;480780121;0;;;;;1;20;2;172;2;5853;;;;;;;;;;;5;12;;;12;1;;;;4;5.25;12;;;15.2
MCOGER;2013;480000041;480780139;0;;;;;1;10;2;115;2;1608;1;1;2;;0.78;0.26;0;0;0;0;8;18;1;;1;2;3;;;1;2.61;6.76;0.23;;0.31
MCOGER;2013;480000074;480780162;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2013;490000049;490000031;1;1783;227;1796;6.66;1;26;1;986;84;9420;7;2;0;0;5.7;2;0;0;1;1;16;13;0;0;9;2;8;1;0;3;14.53;16.98;0.2;0;8.99
